iter	Passed	Remaining
0	218	65236
1	245	36647
2	275	27278
3	306	22675
4	348	20549
5	396	19424
6	453	18964
7	506	18489
8	549	17779
9	581	16869
10	617	16235
11	656	15761
12	690	15236
13	731	14945
14	777	14771
15	847	15048
16	965	16067
17	1131	17733
18	1307	19333
19	1354	18969
20	1383	18381
21	1409	17806
22	1434	17274
23	1467	16874
24	1490	16400
25	1515	15966
26	1541	15588
27	1570	15255
28	1596	14919
29	1623	14609
30	1649	14312
31	1672	14005
32	1698	13744
33	1732	13552
34	1758	13318
35	1786	13102
36	1814	12899
37	1845	12726
38	1872	12532
39	1897	12331
40	1925	12162
41	1955	12011
42	1984	11863
43	2013	11714
44	2037	11547
45	2063	11393
46	2088	11242
47	2119	11126
48	2162	11076
49	2199	10996
50	2230	10890
51	2256	10759
52	2281	10630
53	2314	10545
54	2350	10471
55	2377	10359
56	2401	10238
57	2430	10142
58	2466	10074
59	2483	9933
60	2501	9801
61	2519	9673
62	2538	9549
63	2557	9430
64	2576	9316
65	2594	9199
66	2612	9086
67	2630	8974
68	2649	8868
69	2666	8760
70	2684	8658
71	2704	8564
72	2725	8476
73	2750	8399
74	2774	8323
75	2808	8278
76	2846	8244
77	2869	8168
78	2895	8099
79	2914	8013
80	2939	7948
81	2965	7882
82	2987	7811
83	3007	7732
84	3025	7652
85	3043	7572
86	3059	7490
87	3075	7409
88	3093	7334
89	3110	7257
90	3129	7186
91	3147	7115
92	3162	7038
93	3180	6969
94	3199	6903
95	3215	6832
96	3231	6762
97	3248	6695
98	3265	6630
99	3281	6562
100	3297	6497
101	3316	6437
102	3332	6374
103	3352	6319
104	3375	6269
105	3401	6224
106	3431	6188
107	3458	6149
108	3489	6114
109	3517	6076
110	3540	6029
111	3564	5983
112	3588	5938
113	3610	5890
114	3631	5841
115	3650	5789
116	3666	5735
117	3685	5684
118	3703	5633
119	3722	5583
120	3740	5534
121	3760	5485
122	3776	5434
123	3793	5383
124	3809	5333
125	3828	5287
126	3845	5238
127	3861	5189
128	3878	5141
129	3894	5092
130	3910	5044
131	3928	4999
132	3942	4950
133	3958	4904
134	3977	4861
135	3995	4818
136	4017	4779
137	4038	4740
138	4057	4699
139	4076	4658
140	4096	4619
141	4115	4579
142	4137	4542
143	4157	4504
144	4178	4467
145	4197	4427
146	4218	4390
147	4237	4351
148	4252	4309
149	4268	4268
150	4290	4233
151	4306	4193
152	4323	4154
153	4340	4114
154	4357	4076
155	4460	4117
156	4545	4140
157	4615	4147
158	4650	4123
159	4676	4091
160	4700	4058
161	4723	4023
162	4743	3987
163	4765	3952
164	4786	3915
165	4804	3878
166	4825	3843
167	4848	3809
168	4871	3776
169	4895	3743
170	4915	3708
171	4933	3671
172	4950	3633
173	4966	3596
174	4983	3559
175	4999	3522
176	5016	3485
177	5030	3447
178	5046	3411
179	5063	3375
180	5079	3339
181	5094	3302
182	5110	3267
183	5126	3231
184	5141	3196
185	5158	3161
186	5174	3126
187	5189	3091
188	5205	3057
189	5222	3023
190	5239	2989
191	5254	2955
192	5270	2922
193	5287	2889
194	5306	2857
195	5325	2825
196	5347	2796
197	5368	2765
198	5390	2735
199	5411	2705
200	5433	2676
201	5458	2648
202	5478	2617
203	5501	2588
204	5526	2560
205	5549	2532
206	5578	2506
207	5602	2477
208	5622	2447
209	5641	2417
210	5662	2388
211	5684	2359
212	5715	2334
213	5747	2309
214	5769	2280
215	5792	2252
216	5813	2223
217	5831	2193
218	5850	2163
219	5870	2134
220	5888	2104
221	5908	2075
222	5926	2046
223	5944	2016
224	5964	1988
225	5983	1959
226	6006	1931
227	6028	1903
228	6051	1876
229	6076	1849
230	6101	1822
231	6123	1794
232	6148	1768
233	6171	1740
234	6193	1713
235	6224	1688
236	6247	1660
237	6276	1634
238	6300	1608
239	6322	1580
240	6339	1551
241	6355	1523
242	6373	1494
243	6392	1467
244	6409	1438
245	6425	1410
246	6441	1382
247	6463	1355
248	6480	1327
249	6499	1299
250	6516	1272
251	6535	1244
252	6553	1217
253	6571	1190
254	6590	1163
255	6608	1135
256	6628	1108
257	6647	1082
258	6666	1055
259	6686	1028
260	6706	1002
261	6731	976
262	6753	950
263	6772	923
264	6795	897
265	6826	872
266	6869	849
267	6915	825
268	6961	802
269	6983	775
270	7008	749
271	7035	724
272	7061	698
273	7084	672
274	7102	645
275	7119	619
276	7136	592
277	7151	565
278	7172	539
279	7192	513
280	7211	487
281	7228	461
282	7247	435
283	7265	409
284	7282	383
285	7300	357
286	7316	331
287	7335	305
288	7351	279
289	7368	254
290	7384	228
291	7400	202
292	7418	177
293	7437	151
294	7459	126
295	7481	101
296	7501	75
297	7523	50
298	7544	25
299	7566	0
